,x
0,48.0
1,18.0
2,61.0
3,20.0
4,19.0
5,44.0
6,59.0
7,58.0
8,56.0
9,52.0
10,36.0
11,18.0
12,20.0
13,20.0
14,68.0
15,61.0
16,49.0
17,59.0
18,57.0
19,59.0
20,41.0
21,55.0
22,58.0
23,71.0
24,84.0
25,31.0
26,26.0
27,20.0
28,28.0
29,21.0
30,52.0
31,24.0
32,32.0
33,39.0
34,60.0
35,55.0
36,20.0
37,67.0
38,54.0
39,31.0
40,19.0
41,43.0
42,59.0
43,30.0
44,62.0
45,27.0
46,30.0
47,49.0
48,55.0
49,44.0
50,60.0
51,38.0
52,20.0
53,18.0
54,22.0
55,28.0
56,55.0
57,47.0
58,68.0
59,54.0
60,21.0
61,59.0
62,35.0
63,64.0
64,23.0
65,47.0
66,49.0
67,54.0
68,49.0
69,32.0
70,66.0
71,18.0
72,58.0
73,25.0
74,71.0
75,71.0
76,47.0
77,48.0
78,72.0
79,60.0
80,26.0
81,19.0
82,57.0
83,63.0
84,53.0
85,29.0
86,57.0
87,20.0
88,49.0
89,61.0
90,19.0
91,53.0
92,60.0
93,45.0
94,21.0
95,40.0
96,53.0
97,29.0
98,34.0
99,29.0
100,36.0
101,78.0
102,62.0
103,56.0
104,56.0
105,59.0
106,22.0
107,54.0
108,23.0
109,20.0
110,63.0
111,26.0
112,71.0
113,53.0
114,50.0
115,23.0
116,38.0
117,56.0
118,41.0
119,46.0
120,55.0
121,62.0
122,24.0
123,60.0
124,49.0
125,52.0
126,62.0
127,49.0
128,20.0
129,72.0
130,54.0
131,54.0
132,40.0
133,50.0
134,56.0
135,72.0
136,58.0
137,70.0
138,28.0
139,45.0
140,62.0
141,28.0
142,52.0
143,62.0
144,24.0
145,49.0
146,64.0
147,69.0
148,36.0
149,46.0
150,58.0
151,68.0
152,77.0
153,69.0
154,72.0
155,68.0
156,50.0
157,59.0
158,50.0
159,53.0
160,55.0
161,55.0
162,56.0
163,57.0
164,57.0
165,58.0
166,59.0
167,59.0
168,59.0
169,59.0
170,60.0
171,60.0
172,71.0
173,75.0
174,61.0
175,63.0
176,67.0
177,56.0
178,63.0
179,65.0
180,67.0
181,47.0
182,74.0
183,59.0
184,61.0
185,55.0
186,59.0
187,62.0
188,42.0
189,54.0
190,63.0
191,59.0
192,70.0
193,66.0
194,78.0
195,56.0
196,57.0
197,68.0
198,59.0
199,65.0
200,47.0
201,47.0
202,56.0
203,59.0
204,60.0
205,65.0
206,65.0
207,57.0
208,48.0
209,60.0
210,60.0
211,62.0
212,59.0
213,60.0
214,67.0
215,54.0
216,55.0
217,62.0
218,54.0
219,56.0
220,58.0
221,65.0
222,37.0
223,46.0
224,51.0
225,57.0
226,57.0
227,61.0
228,61.0
229,63.0
230,67.0
231,73.0
232,53.0
233,50.0
234,55.0
235,48.0
236,52.0
237,61.0
238,55.0
239,54.0
240,56.0
241,49.0
242,62.0
243,53.0
244,62.0
245,40.0
246,61.0
