x,value
48.0,0.2
18.0,-1.05
61.0,0.0
20.0,-1.15
19.0,-0.8
44.0,-1.0
59.0,-1.1
58.0,-0.95
56.0,0.75
52.0,0.8
36.0,-1.25
18.0,-1.05
20.0,-1.45
68.0,0.2
61.0,0.1
49.0,-1.15
59.0,-0.85
57.0,0.0
59.0,-0.5
41.0,-1.4
55.0,-1.25
58.0,-1.35
71.0,-0.15
84.0,-0.7
31.0,-1.55
26.0,-1.25
20.0,-1.2
28.0,-1.15
24.0,-0.8
32.0,0.25
60.0,-1.1
55.0,-1.15
20.0,-1.5
54.0,-0.8
31.0,-0.6
19.0,-0.05
59.0,-0.15
30.0,-0.25
27.0,-0.1
30.0,-0.9
49.0,-0.45
55.0,0.2
44.0,-1.5
60.0,-0.6
20.0,-1.75
18.0,-0.4
22.0,-0.6
55.0,-1.0
47.0,-0.25
21.0,-0.35
59.0,-1.3
35.0,-0.25
64.0,-1.55
23.0,-0.85
47.0,-0.85
49.0,-0.35
54.0,0.6
32.0,-1.2
66.0,0.3
25.0,-1.75
71.0,0.1
71.0,0.2
48.0,-0.5
26.0,-1.1
19.0,-1.5
63.0,0.15
53.0,0.2
29.0,-1.15
57.0,-1.25
20.0,-1.05
49.0,-0.65
61.0,-0.4
19.0,-0.15
53.0,-0.25
60.0,-0.8
45.0,-0.85
21.0,0.1
53.0,-1.1
29.0,-0.65
34.0,-0.8
29.0,-0.95
36.0,-1.6
78.0,-0.9
62.0,-0.55
56.0,-1.25
56.0,-1.0
59.0,0.4
54.0,-1.15
23.0,-0.85
20.0,-0.95
63.0,-0.65
71.0,-1.15
53.0,-0.65
50.0,-0.85
23.0,-0.2
38.0,-0.5
41.0,-0.6
46.0,-1.05
55.0,-1.15
24.0,-1.05
60.0,-1.2
49.0,-1.45
52.0,-1.2
62.0,-1.15
49.0,-1.45
20.0,-0.6
72.0,-0.85
54.0,-0.8
54.0,-0.6
40.0,-0.15
50.0,-1.15
56.0,-0.35
72.0,0.25
58.0,-0.35
70.0,0.25
28.0,0.95
45.0,-0.05
62.0,0.45
28.0,-0.5
52.0,-0.75
62.0,-0.75
24.0,-1.25
36.0,-1.3
58.0,0.25
68.0,-1.15
77.0,-0.35
72.0,-0.95
68.0,-0.05
