x,QC Solar,Jinko Solar,Array Technologies,Canadian Solar Inc,Daqo New Energy Corp,Enphase Energy Inc,First Solar,FTC Solar,P2 Solar Inc,Sunrun,Shoals Technologies,TOYO Co
0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100
5,92.34211493742168,99.99999999999997,108.91593237997803,101.2638774418215,105.07845974872606,99.56999184761828,110.1909538170931,103.6042971792837,120.19208925181235,98.67241350937728,110.38816196807409,100
10,92.3421149374217,98.91709343239707,108.91593237997806,138.56227417239995,103.38636221845292,99.56999184761831,110.19095381709309,83.01578447399015,25.63725499014946,78.54984014356032,101.10910095678655,100
15,91.73902178503492,97.66999996972176,85.96890773746597,97.4192168510041,93.69945404398132,99.5699918476183,94.96792265271131,83.01578447399014,180.94576447733985,87.18172532172503,101.10910095678653,100
20,91.73902178503494,125.34001985245689,127.89080883050403,121.03493080684541,112.24686204538733,99.56999184761827,94.96792265271131,112.31856201200584,106.00823218145405,118.79908287708017,5.597562245588014,100
25,136.4912265298947,103.55325518427155,127.89080883050403,113.15024079922875,94.51935560231031,99.5699918476183,130.4859187656798,91.43600615904559,115.12615995032657,125.73435309247296,5.597562245588013,100
30,121.1913562134925,107.30437212560278,103.16106634141035,113.15024079922875,117.91647820708845,99.54446801743617,102.69644826306674,96.47999508854119,103.30469292069964,103.80974705943275,96.15604838630465,100
35,118.74178346223304,47.59720283345339,123.57322268687315,121.62371429446381,119.45753933952324,117.8177801828659,116.35536972612482,118.18956795331881,174.29096772742446,145.68961302647875,96.15604838630463,100
40,116.36752357320513,119.52939360098323,117.95868616704387,121.62371429446381,113.6587527576755,124.94850177603787,138.51076626065353,116.22845385634444,39.10331922484828,145.68961302647875,100.16606645707226,100
45,116.36752357320512,96.4588075073615,97.99625218606626,93.85379163576532,113.65875275767553,101.97124951679424,103.55793511774365,87.38289165412556,257.3826911856597,145.68961302647875,84.81880668457127,100
