DATE,BookValue
2005-09-30,
2005-12-31,0.2687835
2006-03-31,
2006-06-30,
2006-09-30,2.0922425
2006-12-31,7.0627413
2007-03-31,5.0697417
2007-06-30,6.32554
2007-09-30,12.401616
2007-12-31,14.072757
2008-03-31,14.106351
2008-06-30,15.250487
2008-09-30,16.802975
2008-12-31,18.423872
2009-03-31,20.646782
2009-06-30,26.671463
2009-09-30,28.631
2009-12-31,31.193111
2010-03-31,33.06759
2010-06-30,34.863556
2010-09-30,38.11738
2010-12-31,39.945717
2011-03-31,40.96182
2011-06-30,42.255333
2011-09-30,46.193207
2011-12-31,42.337517
2012-03-31,37.09522
2012-06-30,38.34939
2012-09-30,39.402428
2012-12-31,40.71786
2013-03-31,41.10657
2013-06-30,45.607273
2013-09-30,44.02733
2013-12-31,44.470837
2014-03-31,45.504795
2014-06-30,45.84787
2014-09-30,47.263393
2014-12-31,49.527504
2015-03-31,49.684742
2015-06-30,49.617348
2015-09-30,52.990204
2015-12-31,54.241123
2016-03-31,55.856197
2016-06-30,55.881058
2016-09-30,57.317913
2016-12-31,50.13645
2017-03-31,50.069977
2017-06-30,50.58081
2017-09-30,52.171074
2017-12-31,48.81565
2018-03-31,48.53366
2018-06-30,48.778614
2018-09-30,48.70771
2018-12-31,49.257725
2019-03-31,48.827763
2019-06-30,48.734676
2019-09-30,48.786873
2019-12-31,48.344955
2020-03-31,48.583668
2020-06-30,49.090343
2020-09-30,50.54859
2020-12-31,51.624474
2021-03-31,53.27701
2021-06-30,54.135635
2021-09-30,54.538162
2021-12-31,55.693096
2022-03-31,55.211582
2022-06-30,55.072365
2022-09-30,54.676884
2022-12-31,54.744152
2023-03-31,54.769096
2023-06-30,56.298943
2023-09-30,58.627842
2023-12-31,62.17547
2024-03-31,64.26503
2024-06-30,67.47637
2024-09-30,70.59787
2024-12-31,74.14449
2025-03-31,76.22152
2025-06-30,79.56179
2025-09-30,83.83374
