DATE,Rev,Cost,market
2021-06-30,50108000.0,66165000.0,13.31
2021-09-30,52989000.0,61028000.0,7.79
2021-12-31,101721000.0,110296000.0,7.56
2022-03-31,49553000.0,58840000.0,4.93
2022-06-30,30721000.0,37233000.0,3.62
2022-09-30,16572000.0,26087000.0,2.96
2022-12-31,26220000.0,28134000.0,2.68
2023-03-31,40894000.0,38859000.0,2.25
2023-06-30,32359000.0,30158000.0,3.22
2023-09-30,30548000.0,27169000.0,1.28
2023-12-31,23201000.0,22509000.0,0.6928
2024-03-31,12587000.0,14695000.0,0.539
2024-06-30,11430000.0,13773000.0,0.353
2024-09-30,10136000.0,14442000.0,0.6806
2024-12-31,13202000.0,17039000.0,5.51
2025-03-31,20803000.0,24250000.0,2.87
2025-06-30,19993000.0,23912000.0,4.53
2025-09-30,26030000.0,24436000.0,7.05
2025-12-31,32861000.0,25961000.0,10.91
