DATE,totalLiabilities,totalAssets
2020-12-31,63942000,71393000
2021-03-31,71955000,72451000
2021-06-30,59893000,240665000
2021-09-30,72069000,235429000
2021-12-31,100154000,243020000
2022-03-31,91240000,211408000
2022-06-30,85499000,185498000
2022-09-30,66953999,148482000
2022-12-31,67948000,134398000
2023-03-31,70796000,139037000
2023-06-30,58041000,137435000
2023-09-30,62185000,136259000
2023-12-31,60599000,123070000
2024-03-31,59872000,115030000
2024-06-30,56109000,100350000
2024-09-30,61285000,91693000
2024-12-31,70892000,89928000
2025-03-31,68533000,84061000
2025-06-30,73913000,82955000
2025-09-30,125257000,111525000
