DATE,close
2021-04-28,14.26
2021-04-29,13.71
2021-04-30,13.61
2021-05-03,13.12
2021-05-04,12.5
2021-05-05,12.77
2021-05-06,12.8
2021-05-07,12.4
2021-05-10,12.05
2021-05-11,11.7
2021-05-12,8.76
2021-05-13,8.28
2021-05-14,8.38
2021-05-17,8.23
2021-05-18,8.27
2021-05-19,8.39
2021-05-20,8.68
2021-05-21,8.62
2021-05-24,9.39
2021-05-25,9.45
2021-05-26,9.91
2021-05-27,10.72
2021-05-28,10.76
2021-06-01,10.55
2021-06-02,10.67
2021-06-03,10.78
2021-06-04,11.25
2021-06-07,10.88
2021-06-08,11.13
2021-06-09,10.81
2021-06-10,11.01
2021-06-11,10.8
2021-06-14,11.47
2021-06-15,11.11
2021-06-16,11.81
2021-06-17,12.25
2021-06-18,11.81
2021-06-21,11.57
2021-06-22,11.55
2021-06-23,12.93
2021-06-24,12.84
2021-06-25,12.1
2021-06-28,12.62
2021-06-29,13.14
2021-06-30,13.31
2021-07-01,13.23
2021-07-02,12.72
2021-07-06,12.16
2021-07-07,12.03
2021-07-08,11.84
2021-07-09,11.28
2021-07-12,11.47
2021-07-13,11.44
2021-07-14,10.74
2021-07-15,10.6
2021-07-16,10.22
2021-07-19,9.78
2021-07-20,10.08
2021-07-21,10.54
2021-07-22,10.56
2021-07-23,10.4
2021-07-26,10.1
2021-07-27,9.89
2021-07-28,10.53
2021-07-29,10.56
2021-07-30,10.14
2021-08-02,10.21
2021-08-03,10.08
2021-08-04,10.32
2021-08-05,10.4
2021-08-06,10.35
2021-08-09,10.53
2021-08-10,11.1
2021-08-11,10.45
2021-08-12,10.51
2021-08-13,10.01
2021-08-16,9.43
2021-08-17,9.02
2021-08-18,9.18
2021-08-19,9.06
2021-08-20,9.53
2021-08-23,9.89
2021-08-24,10.11
2021-08-25,10.17
2021-08-26,10.58
2021-08-27,10.82
2021-08-30,10.84
2021-08-31,10.85
2021-09-01,10.81
2021-09-02,10.49
2021-09-03,10.32
2021-09-07,10.29
2021-09-08,9.78
2021-09-09,9.81
2021-09-10,9.59
2021-09-13,9.92
2021-09-14,9.72
2021-09-15,9.36
2021-09-16,9.13
2021-09-17,9.3
2021-09-20,8.73
2021-09-21,8.71
2021-09-22,8.75
2021-09-23,8.59
2021-09-24,8.14
2021-09-27,8.14
2021-09-28,7.77
2021-09-29,7.78
2021-09-30,7.79
2021-10-01,7.62
2021-10-04,6.81
2021-10-05,6.69
2021-10-06,6.51
2021-10-07,6.81
2021-10-08,6.84
2021-10-11,6.56
2021-10-12,6.7
2021-10-13,6.78
2021-10-14,6.67
2021-10-15,6.58
2021-10-18,6.3
2021-10-19,6.76
2021-10-20,7.15
2021-10-21,7.82
2021-10-22,7.65
2021-10-25,7.89
2021-10-26,8.14
2021-10-27,8.46
2021-10-28,9.11
2021-10-29,9.54
2021-11-01,10.08
2021-11-02,9.41
2021-11-03,9.91
2021-11-04,9.89
2021-11-05,10.18
2021-11-08,9.92
2021-11-09,9.42
2021-11-10,8.25
2021-11-11,9.15
2021-11-12,10.27
2021-11-15,10.8
