DATE,ftcsolar,shoalssolar
2024-12-02,3.1,5.16
2024-12-03,3.41,5.11
2024-12-04,3.17,4.9
2024-12-05,3.0,4.88
2024-12-06,2.98,4.75
2024-12-09,3.19,4.52
2024-12-10,3.42,4.63
2024-12-11,3.84,4.68
2024-12-12,3.36,4.54
2024-12-13,3.2,4.4
2024-12-16,3.08,4.38
2024-12-17,3.28,4.42
2024-12-18,3.29,4.9
2024-12-19,3.06,4.73
2024-12-20,2.94,4.49
2024-12-23,3.02,5.14
2024-12-24,3.2601,5.44
2024-12-26,3.57,5.38
2024-12-27,4.21,5.41
2024-12-30,5.19,5.57
2024-12-31,5.45,5.66
2025-01-02,5.47,5.65
2025-01-03,5.63,6.172
2025-01-06,6.22,6.07
2025-01-07,5.82,6.04
2025-01-08,5.39,6.01
2025-01-10,4.77,5.99
2025-01-13,4.72,5.85
2025-01-14,4.38,5.97
2025-01-15,4.33,5.01
2025-01-16,4.07,4.56
2025-01-17,4.3,4.7
2025-01-21,3.97,4.65
2025-01-22,3.72,4.58
2025-01-23,4.08,4.29
2025-01-24,4.27,4.66
2025-01-27,4.13,4.72
2025-01-28,3.95,4.56
2025-01-29,3.98,4.55
2025-01-30,4.14,4.63
2025-01-31,3.91,4.65
2025-02-03,3.86,4.63
2025-02-04,3.9,4.53
2025-02-05,3.93,4.7
2025-02-06,3.7,4.6
2025-02-07,3.63,4.56
2025-02-10,3.45,4.44
2025-02-11,3.36,4.35
2025-02-12,3.15,4.02
2025-02-13,3.05,4.03
2025-02-14,3.4,4.05
2025-02-18,3.39,3.9
2025-02-19,3.5,4.12
2025-02-20,3.63,4.38
2025-02-21,3.46,4.62
2025-02-24,3.33,4.55
2025-02-25,3.2,3.81
2025-02-26,3.21,4.25
2025-02-27,3.2,3.87
2025-02-28,3.09,3.49
2025-03-03,3.09,3.04
2025-03-04,2.86,2.83
2025-03-05,2.85,3.07
2025-03-06,2.93,3.02
2025-03-07,2.77,3.02
2025-03-10,2.85,2.84
2025-03-11,2.84,2.86
2025-03-12,2.86,2.77
2025-03-13,2.68,3.09
2025-03-14,2.47,3.31
2025-03-17,2.64,3.26
2025-03-18,2.74,3.21
2025-03-19,2.71,3.34
2025-03-20,2.69,3.38
2025-03-21,2.66,3.27
2025-03-24,2.92,3.31
2025-03-25,3.0,3.34
2025-03-26,2.73,3.41
2025-03-27,2.64,3.45
2025-03-28,2.51,3.38
2025-03-31,2.4,3.24
2025-04-01,2.86,3.32
2025-04-02,2.61,3.21
2025-04-03,2.89,3.17
2025-04-04,2.82,3.0
2025-04-07,2.57,2.99
2025-04-08,2.65,3.45
2025-04-09,2.27,3.12
2025-04-10,2.56,3.51
2025-04-11,2.61,3.38
2025-04-14,2.88,3.43
2025-04-15,2.68,3.33
2025-04-16,2.77,3.3
2025-04-17,2.68,3.31
2025-04-21,2.66,3.32
2025-04-22,2.66,3.25
2025-04-23,2.83,3.37
2025-04-24,2.87,3.34
2025-04-25,3.06,3.37
2025-04-28,3.03,3.7
2025-04-29,3.39,3.75
2025-04-30,3.33,3.6
2025-05-01,3.52,3.64
2025-05-02,3.34,3.8
2025-05-05,3.17,3.83
2025-05-06,2.97,4.29
2025-05-07,3.07,4.5
2025-05-08,2.97,4.63
2025-05-09,3.32,4.91
2025-05-12,3.51,5.325
2025-05-13,3.68,5.6
2025-05-14,4.0,5.95
2025-05-15,4.04,4.82
2025-05-16,4.16,4.92
2025-05-19,3.95,4.74
2025-05-20,4.02,4.8
2025-05-21,3.81,4.73
2025-05-22,3.48,3.9
2025-05-23,3.44,4.47
2025-05-27,3.5,4.63
2025-05-28,3.84,4.78
2025-05-29,4.19,4.535
2025-05-30,4.1,4.36
2025-06-02,4.1,4.8
2025-06-03,4.1,4.56
2025-06-04,4.14,4.91
2025-06-05,4.26,4.9
2025-06-06,4.19,5.0
2025-06-09,4.31,5.26
2025-06-10,4.41,5.19
2025-06-11,4.52,5.26
2025-06-12,4.43,5.05
2025-06-13,4.46,4.91
2025-06-16,4.63,5.12
2025-06-17,3.8,4.65
2025-06-18,4.04,5.26
2025-06-20,4.09,5.26
2025-06-23,4.27,4.902
2025-06-24,4.27,5.0
2025-06-25,4.57,5.11
2025-06-26,4.2,4.97
2025-06-27,4.45,4.91
2025-06-30,4.29,4.23
2025-07-01,4.52,4.3
2025-07-02,4.77,5.26
2025-07-03,4.7,5.59
2025-07-07,4.92,6.2
2025-07-08,5.23,5.97
2025-07-09,5.14,5.78
2025-07-10,5.12,5.74
2025-07-11,5.16,5.73
2025-07-14,5.14,5.69
2025-07-15,4.91,5.87
2025-07-16,4.825,5.9
2025-07-17,4.9999,5.95
2025-07-18,5.08,5.77
2025-07-21,5.1,5.65
2025-07-22,4.9,5.69
2025-07-23,5.05,6.0
2025-07-24,5.36,5.8
2025-07-25,5.53,5.65
2025-07-28,5.71,5.85
2025-07-29,5.72,5.875
2025-07-30,5.67,5.6
2025-07-31,5.82,5.36
2025-08-01,5.53,5.35
2025-08-04,5.99,5.19
2025-08-05,5.6,5.8
2025-08-06,5.3,4.61
2025-08-07,5.25,5.01
2025-08-08,5.06,4.87
2025-08-11,4.63,4.7
2025-08-12,4.6,4.46
2025-08-13,4.9,4.71
2025-08-14,4.65,4.74
2025-08-15,4.76,4.64
2025-08-18,5.83,5.4
2025-08-19,6.0,6.04
2025-08-20,5.38,6.13
2025-08-21,5.57,6.11
2025-08-22,6.43,5.8
2025-08-25,6.43,6.48
2025-08-26,6.6,6.79
