date,ProjectCount
2010-06-01T00:00:00.000000,1
2010-08-01T00:00:00.000000,3
2010-09-01T00:00:00.000000,1
2010-10-01T00:00:00.000000,3
2010-11-01T00:00:00.000000,11
2010-12-01T00:00:00.000000,9
2011-01-01T00:00:00.000000,20
2011-02-01T00:00:00.000000,31
2011-03-01T00:00:00.000000,30
2011-04-01T00:00:00.000000,11
2011-05-01T00:00:00.000000,7
2011-06-01T00:00:00.000000,4
2011-10-01T00:00:00.000000,1
2011-11-01T00:00:00.000000,1
2011-12-01T00:00:00.000000,1
2012-01-01T00:00:00.000000,3
2012-02-01T00:00:00.000000,2
2012-03-01T00:00:00.000000,27
2012-04-01T00:00:00.000000,8
2012-05-01T00:00:00.000000,12
2012-06-01T00:00:00.000000,9
2012-07-01T00:00:00.000000,17
2012-08-01T00:00:00.000000,21
2012-09-01T00:00:00.000000,23
2012-10-01T00:00:00.000000,38
2012-11-01T00:00:00.000000,38
2012-12-01T00:00:00.000000,23
2013-01-01T00:00:00.000000,14
2013-02-01T00:00:00.000000,19
2013-03-01T00:00:00.000000,17
2013-04-01T00:00:00.000000,17
2013-05-01T00:00:00.000000,26
2013-06-01T00:00:00.000000,22
2013-07-01T00:00:00.000000,38
2013-08-01T00:00:00.000000,42
2013-09-01T00:00:00.000000,35
2013-10-01T00:00:00.000000,30
2013-11-01T00:00:00.000000,26
2013-12-01T00:00:00.000000,27
2014-01-01T00:00:00.000000,26
2014-02-01T00:00:00.000000,21
2014-03-01T00:00:00.000000,29
2014-04-01T00:00:00.000000,25
2014-05-01T00:00:00.000000,55
2014-06-01T00:00:00.000000,70
2014-07-01T00:00:00.000000,76
2014-08-01T00:00:00.000000,67
2014-09-01T00:00:00.000000,48
2014-10-01T00:00:00.000000,46
2014-11-01T00:00:00.000000,28
2014-12-01T00:00:00.000000,21
2015-01-01T00:00:00.000000,28
2015-02-01T00:00:00.000000,30
2015-03-01T00:00:00.000000,50
2015-04-01T00:00:00.000000,45
2015-05-01T00:00:00.000000,67
2015-06-01T00:00:00.000000,75
2015-07-01T00:00:00.000000,112
2015-08-01T00:00:00.000000,83
2015-09-01T00:00:00.000000,59
2015-10-01T00:00:00.000000,45
2015-11-01T00:00:00.000000,14
2015-12-01T00:00:00.000000,9
2016-01-01T00:00:00.000000,4
2016-02-01T00:00:00.000000,6
2016-03-01T00:00:00.000000,5
2016-04-01T00:00:00.000000,4
2016-05-01T00:00:00.000000,1
2016-06-01T00:00:00.000000,1
2016-07-01T00:00:00.000000,3
2016-08-01T00:00:00.000000,5
2016-09-01T00:00:00.000000,2
2016-12-01T00:00:00.000000,1
2017-01-01T00:00:00.000000,1
2017-02-01T00:00:00.000000,2
2017-03-01T00:00:00.000000,1
2017-04-01T00:00:00.000000,2
2017-05-01T00:00:00.000000,3
2017-07-01T00:00:00.000000,1
2017-08-01T00:00:00.000000,1
2017-10-01T00:00:00.000000,3
2017-11-01T00:00:00.000000,3
2018-02-01T00:00:00.000000,3
2018-03-01T00:00:00.000000,3
2018-04-01T00:00:00.000000,2
2018-06-01T00:00:00.000000,1
2018-07-01T00:00:00.000000,4
2018-08-01T00:00:00.000000,5
2018-09-01T00:00:00.000000,1
2018-10-01T00:00:00.000000,7
2018-11-01T00:00:00.000000,6
2018-12-01T00:00:00.000000,7
2019-01-01T00:00:00.000000,15
2019-02-01T00:00:00.000000,17
2019-03-01T00:00:00.000000,12
2019-04-01T00:00:00.000000,6
2019-05-01T00:00:00.000000,3
2019-06-01T00:00:00.000000,10
2019-07-01T00:00:00.000000,8
2019-08-01T00:00:00.000000,3
2019-09-01T00:00:00.000000,8
2019-10-01T00:00:00.000000,5
2019-11-01T00:00:00.000000,15
2019-12-01T00:00:00.000000,16
2020-01-01T00:00:00.000000,14
2020-02-01T00:00:00.000000,12
2020-03-01T00:00:00.000000,26
2020-04-01T00:00:00.000000,8
2020-05-01T00:00:00.000000,8
2020-06-01T00:00:00.000000,11
2020-07-01T00:00:00.000000,8
2020-08-01T00:00:00.000000,9
2020-09-01T00:00:00.000000,13
2020-10-01T00:00:00.000000,19
2020-11-01T00:00:00.000000,19
2020-12-01T00:00:00.000000,22
2021-01-01T00:00:00.000000,48
2021-02-01T00:00:00.000000,34
2021-03-01T00:00:00.000000,25
2021-04-01T00:00:00.000000,21
2021-05-01T00:00:00.000000,27
2021-06-01T00:00:00.000000,53
2021-07-01T00:00:00.000000,35
2021-08-01T00:00:00.000000,32
2021-09-01T00:00:00.000000,53
2021-10-01T00:00:00.000000,49
2021-11-01T00:00:00.000000,60
2021-12-01T00:00:00.000000,46
2022-01-01T00:00:00.000000,57
2022-02-01T00:00:00.000000,81
2022-03-01T00:00:00.000000,88
2022-04-01T00:00:00.000000,76
2022-05-01T00:00:00.000000,68
2022-06-01T00:00:00.000000,71
2022-07-01T00:00:00.000000,54
2022-08-01T00:00:00.000000,92
2022-09-01T00:00:00.000000,98
2022-10-01T00:00:00.000000,101
2022-11-01T00:00:00.000000,93
2022-12-01T00:00:00.000000,88
2023-01-01T00:00:00.000000,90
2023-02-01T00:00:00.000000,103
2023-03-01T00:00:00.000000,115
2023-04-01T00:00:00.000000,104
2023-05-01T00:00:00.000000,102
2023-06-01T00:00:00.000000,117
2023-07-01T00:00:00.000000,144
2023-08-01T00:00:00.000000,109
2023-09-01T00:00:00.000000,88
2023-10-01T00:00:00.000000,95
2023-11-01T00:00:00.000000,95
2023-12-01T00:00:00.000000,97
2024-01-01T00:00:00.000000,117
2024-02-01T00:00:00.000000,84
2024-03-01T00:00:00.000000,91
2024-04-01T00:00:00.000000,92
2024-05-01T00:00:00.000000,77
2024-06-01T00:00:00.000000,68
2024-07-01T00:00:00.000000,81
2024-08-01T00:00:00.000000,75
2024-09-01T00:00:00.000000,80
2024-10-01T00:00:00.000000,103
2024-11-01T00:00:00.000000,78
2024-12-01T00:00:00.000000,65
2025-01-01T00:00:00.000000,87
2025-02-01T00:00:00.000000,109
2025-03-01T00:00:00.000000,79
2025-04-01T00:00:00.000000,73
2025-05-01T00:00:00.000000,95
2025-06-01T00:00:00.000000,94
2025-07-01T00:00:00.000000,167
2025-08-01T00:00:00.000000,80
2025-09-01T00:00:00.000000,68
2025-10-01T00:00:00.000000,87
2025-11-01T00:00:00.000000,56
2025-12-01T00:00:00.000000,78
2026-01-01T00:00:00.000000,1
