date,totalRevenue
2015-05-07,86399000.0
2015-08-12,98420000.0
2015-11-04,115054000.0
2016-02-03,124832000.0
2016-05-09,125205000.0
2016-08-09,124752000.0
2016-11-09,128484000.0
2017-02-14,111513000.0
2017-05-09,115054000.0
2017-08-02,136099008.0
2017-11-08,166552000.0
2018-02-14,189340000.0
2018-05-09,209871008.0
2018-08-02,227118000.0
2018-11-01,236578000.0
2019-02-20,263670000.0
2019-05-06,271871008.0
2019-08-06,325009984.0
2019-11-06,410556000.0
2020-01-21,418223008.0
2020-05-06,431217984.0
2020-08-03,331851008.0
2020-11-02,338095008.0
2021-02-16,358107008.0
2021-05-03,405488992.0
2021-08-02,480056992.0
2021-11-02,526404000.0
2022-02-15,551915008.0
2022-05-02,655080000.0
2022-08-02,727774016.0
2022-11-07,836723008.0
2023-02-13,890702016.0
2023-05-03,943889024.0
2023-08-01,991289984.0
2023-11-01,725305024.0
2024-02-20,316044000.0
2024-05-08,204399008.0
2024-08-07,265404992.0
2024-11-06,260903008.0
2025-02-18,170748992.0
2025-05-06,219480000.0
2025-08-07,289428992.0
2025-11-05,340176992.0
2026-02-18,335358016.0
